lowercase,forms,if_interesting,
further',further',0,
's,'s 'S,1,
days',days',0,
y'alls,y'alls,1,
beta'd,beta'd,1,
brothers',brothers',0,
sons',sons',0,
fathers',fathers',0,
daughters',daughters',0,
'divine,'Divine 'divine,0,
here',here',0,
'old,'Old 'old,0,
'on,'on 'On,0,
nine',nine',0,
'mind's,'mind's,0,
eye',eye',0,
dear',dear',0,
'ngel,'ngel,1,
p'sned,p'sned,1,
j'st,J'st,1,
t'red,T'red,1,
g'nna,G'nna g'nna,1,
c'est,c'est C'est,0,
time',time',0,
goodness',goodness',0,
warmth',warmth',0,
'kicked,'kicked,0,
anyone',anyone',0,
'sss,'sss 'Sss,1,
don't's,don't's,1,
'im,'im 'IM 'Im,0,
'internet,'internet,0,
what'd'you,what'd'you,0,
'traitorous,'traitorous,0,
acts',acts',0,
should'a,should'a,1,
z'at,Z'at,1,
s'the,S'the,1,
s'what,S'what s'what,1,
mean',mean',0,
'sort,'sort 'Sort,0,
thing',thing',0,
'drop,'drop,0,
'sixteen,'Sixteen,0,
s'possed,s'possed,1,
'how,'How 'how 'HOW,0,
couldn't-'',couldn't-'',0,
thought-'',thought-'',0,
just-'',just-'',0,
'excuse,'excuse 'Excuse,0,
s'a,S'a s'a,1,
s'nice,s'nice S'nice,1,
s'gonna,S'gonna,1,
'best,'Best 'best,0,
friend',friend',0,
'i'm,'I'm 'i'm,0,
tickety-boo',tickety-boo',0,
a—what's,a—what's,0,??
'eternally,'Eternally 'eternally,0,
down—you'd,down—you'd,0,
almighty',almighty',0,
inn'it,inn'it,1,
on—what's,on—what's,0,
'cept,'cept 'Cept 'CEPT,1,
t'sked,t'sked,1,
it'ssss,it'ssss,1,
'hm,'Hm,1,
s'easier,S'easier,1,
s'everthing,S'everthing,1,
wand'ring,wand'ring,1,
prov'd,prov'd,1,
lov'd,lov'd,1,
we-'',we-'',0,
you-'',you-'',0,
drunk-'',drunk-'',0,
ride'',ride'',0,
is-'',is-'',0,
lying-'',lying-'',0,
w-'',w-'',1,0
me'',me'',0,
fuck-'',fuck-'',0,
fu-'',fu-'',1,0
up-'',up-'',0,
swear-'',swear-'',0,
'til,'til 'Til,1,
'shit,'Shit 'shit 'SHIT,0,
shit–',shit–',0,
li'l,li'l,1,
'bout,'bout 'Bout,1,
'scuse,'scuse 'Scuse,1,
what're,what're,0,
married',married',0,
'hey,'Hey 'hey,0,
fuck',fuck',0,
cupids',cupids',0,
colleague',colleague',0,
'day-where-you-try-not-to-get-burned,'day-where-you-try-not-to-get-burned,0,
trip',trip',0,
'getting,'getting 'Getting,0,
off',off',0,
'calming,'calming,0,
down',down',0,
'aziraphale,'Aziraphale,0,
'please,'Please 'please 'PLEASE,0,
'stop,'Stop 'stop,0,
'now,'Now 'now 'NOW,0,
'harder,'Harder,0,
'modern,'modern,0,
sss'not,sss'not,1,
occupants',occupants',0,
yea',yea',0,
'dangerous,'dangerous,0,
sorry'-s,sorry'-s,1,
'my,'my 'My 'MY,0,
'there'd,'there'd,0,
point',point',0,
'fine,'fine 'Fine 'FINE,0,
guess',guess',0,
'jophiel,'Jophiel,0,
'cross,'Cross 'cross,0,
he'sss,he'sss,1,
'you're,'You're 'you're 'YOU'RE,0,
wasn't--he,wasn't--he,0,
'why,'why 'Why 'WHY,0,
already',already',0,
'fuck,'fuck 'Fuck 'FUCK,0,
they'e,they'e,1,
'homey,'Homey 'homey,0,
touches',touches',0,
'accent,'accent,0,
colors',colors',0,
'too,'too 'Too,0,
fast',fast',0,
'dine,'dine,0,
what'ssss,what'ssss,1,
'oooh,'oooh 'Oooh,1,
flames',flames',0,
'adam,'ADAM 'Adam,0,
'lucifer,'Lucifer,0,
rise',rise',0,
detectives',detectives',0,
saying'if,saying'if,0,
'yer,'yer,1,
'zira,'ZIRA 'Zira 'zira,0,
'taken,'taken,0,
of',of',0,
overtime',overtime',0,
'thou,'Thou 'thou,0,
you--you're,you--You're you--you're,0,
mistake',mistake',0,
mind',mind',0,
'love,'Love 'love 'LOVE,0,
car',car',0,
l'oiseau,L'oiseau,0,
'conceal,'Conceal,0,
'inconveniently,'inconveniently,0,
discorporated',discorporated',0,
'reverse,'reverse,0,
cowgirl',cowgirl',0,
'yes,'yes 'Yes 'YES,0,
t'this,t'this,1,
th'banks,th'banks,1,
th'bann,th'Bann,1,
't,'T 't,1,
'is,'is 'Is,0,
holy'n,holy'n,1,
s'alright,S'alright s'alright S'Alright,1,
d'oeuvres,d'oeuvres d'Oeuvres,0,
sense—humanity's,sense—humanity's,0,
'no,'No 'no 'NO,0,
'not,'Not 'not 'NOT,0,
'may,'May 'may,0,
my--',my--',0,
'of,'Of 'of,0,
'aziraphale’s,'Aziraphale’s,0,
'he,'He 'he 'HE,0,
others',others',0,
'common,'common 'Common,0,
room',room',0,
'partners,'partners,0,
wouldn't-it-be-nice,wouldn't-it-be-nice,0,
'-when,'-when,0,
pluck'd,pluck'd,1,
y'er,Y'er,1,
'main,'main 'Main,0,
sequence',sequence',0,
'princess,'Princess,0,
'sides,'Sides 'sides,1,
'you,'You 'you 'YOU,0,
'cuz,'cuz 'Cuz,0,
'well,'Well 'well 'WELL,0,
'here,'Here 'here 'HERE,0,
hit',hit',0,
's's,'s's,1,
d'n,D'n,1,
m',m' M',1,
sides',sides',0,
one',one',0,
c'mere,C'mere c'mere,1,
'slow,'Slow 'slow,0,
'gross,'gross,0,
matter',matter',0,
s',S' s',1,
'twas,'twas 'Twas,1,
'ere,'ere 'Ere 'ERE,1,
y',y' Y',1,
jackdaws',jackdaws',0,
builders',builders',0,
judge'a,judge'a,1,
t',t',1,
t'morrow,T'morrow t'morrow,1,
b'cuz,B'cuz,1,
jus',jus',1,
th',th',1,
sidewalk'n,sidewalk'n,1,
who're,who're,0,
'specially,'specially 'Specially,0,
'this,'This 'THIS 'this,0,
parents',parents',0,
sword',sword',0,
d'angelo's,D'Angelo's,0,
d'arc,d'Arc D'Arc,0,
'sure,'sure 'Sure,0,
stuffing',stuffing',0,
'earliest,'earliest,0,
convenience',convenience',0,
'right,'right 'Right,0,
orders—it's,orders—it's,0,
afraid',afraid',0,
trial',trial',0,
rules',rules',0,
ifs',ifs',0,
couldn't--he,couldn't--he,0,
'come,'Come 'come,0,
'slumber,'slumber,0,
'd,'D 'd,1,0
d'yquem,d'Yquem D'Yquem,0,
carpark',carpark',0,
'strongly,'strongly,0,
'jupiter,'Jupiter,0,
'neptune,'Neptune,0,
drivers',drivers',0,
'ran,'ran,0,
best',best',0,
creatures',creatures',0,
likely',likely',0,
'much,'Much,0,
'barney,'Barney,0,
'let,'let 'Let,0,
up',up' UP',0,
idiots',idiots',0,
s'that,s'that S'that,1,
y'could,Y'could y'could,1,
'dark,'Dark 'dark,0,
'fairy,'fairy,0,
pools',pools',0,
'party,'party,0,
tricks',tricks',0,
'speaking,'speaking 'Speaking,0,
its',its',0,
skinny-white-boy-on-magazine-cover-who's-definitely-done-every-drug-on-the-face-of-the-earth,skinny-white-boy-on-magazine-cover-who's-definitely-done-every-drug-on-the-face-of-the-earth,0,
'quick,'quick,0,
'he's,'He's 'he's 'HE'S,0,
'gotta,'Gotta,0,
'so,'so 'So 'SO,0,
'sexy,'Sexy,0,
dice',dice',0,
boys',boys',0,
'meant,'meant,0,
doing',doing',0,
'az,'Az 'AZ,1,0
'oz,'Oz,1,0
'azaz,'azaz,1,0
'it,'It 'it 'IT,0,
heals',heals',0,
'cuddle,'Cuddle,0,
'private,'private,0,
spree',spree',0,
sale',sale',0,
'attack,'attack,0,
heaven',heaven',0,
s'why,S'why s'why,1,
'me,'me 'Me,0,
didn't',didn't',0,
beings',beings',0,
'angels-are-good,'angels-are-good,0,
demons-are-bad',demons-are-bad',0,
enemy',enemy',0,
'we,'we 'We,0,
and-',and-',0,
'h,'H,1,0
'looking,'Looking 'looking,0,
'same,'same 'Same,0,
'that,'That 'that 'THAT,0,
'where,'Where 'where,0,
'whatever,'Whatever 'whatever,0,
'yeah,'Yeah 'yeah 'YEAH,0,
'wake,'Wake,0,
'ok,'Ok 'ok 'OK,0,
better-',better-',0,
'um,'Um 'um,0,???
'to,'To 'to,0,
are-',are-',0,
'mmmnn,'Mmmnn,1,
'ahh,'Ahh,0,
'go,'Go 'go 'GO,0,
'her,'her 'Her,0,
'free,'free 'Free 'FREE,0,
love',love',0,
'an,'an 'An,0,
effort',effort',0,
'real,'real,0,
demon',demon',0,
'demons,'demons 'Demons,0,
hand',hand',0,
'azira,'Azira,0,
m'afraid,m'afraid,1,
'rain,'rain 'Rain,0,
bow',bow',0,
'great,'Great 'great,0,
'sthat,'Sthat 'sthat,1,
s'ludicrous,S'ludicrous,1,
why're,why're,0,
customers',customers',0,
kilometers',kilometers',0,
'filthy,'filthy 'Filthy,0,
disgusting',disgusting',0,
'just,'just 'Just 'JUST,0,
'got,'got 'Got,0,
'splain,'splain 'Splain,1,
here'zzz,here'zzz,1,
'sploded,'sploded,1,
one'zzz,one'zzz,1,
guards',guards',0,
'sorted,'sorted,0,
'pip,'pip,0,
cheerio',cheerio',0,
funny',funny',0,
couldn'dt,couldn'dt,1,
'fraid,'Fraid 'fraid,1,
creations',creations',0,
boils',boils',0,
y'think,Y'think y'think,1,
s'fine,S'fine s'fine,1,
downstairs',downstairs',0,
'these,'these 'These,0,
'rock,'rock,0,
roll',roll',0,
unicorns',unicorns',0,
'first,'first 'First 'FIRST,0,
egg',egg',0,
we--we're,we--we're,0,
'mood,'mood,0,
shouldn't'a,shouldn't'a,1,
s'all,S'all s'all,1,
t'see,T'see t'see,1,
s'your,s'your S'your,1,
y'pop,y'pop,1,
gotch'u,gotch'u,1,
don't'cha,don't'cha,1,
y'really,Y'really,1,
y'what,Y'what,1,
y'like,y'like Y'like,1,
'stupid,'Stupid 'stupid,0,
jokes',jokes',0,
buggers',buggers',0,
'would,'Would 'would,0,
'small,'Small 'small,0,
community',community',0,
morning--he'd,morning--he'd,0,
students',students',0,
speakers',speakers',0,
s'long,s'long S'long,1,
d'your,D'your,1,
centuries',centuries',0,
destruction',destruction',0,
all—it's,all—it's,0,
threat'ning,threat'ning,1,
heav'n,heav'n,1,
o',o' O',1,
aren't’,aren't’,0,
let'ss,let'ss,1,
'locker,'locker,0,
'personal,'personal 'Personal,0,
leave',leave',0,
arms',arms',0,
do',do',0,
'missed,'missed 'Missed,0,
connection',connection',0,
'how'd,'How'd,0,
angel',angel',0,
'boy,'boy 'Boy,0,
toy',toy',0,
minutes',minutes',0,
'cursed,'cursed 'Cursed,0,
life',life',0,
'mysterious,'mysterious 'Mysterious,0,
how'd,how'd HOW'D,0,
couldnt',couldnt',0,
s'abit,S'abit,1,
wing',wing',0,
'because,'because 'Because,0,
'do,'do 'Do 'DO,0,
'evil,'evil 'Evil,0,
good',good',0,
'watch,'watch 'Watch,0,
parties',parties',0,
'jerking,'jerking,0,
'at,'At 'at,0,
'was,'was 'Was,0,
'significant,'significant 'Significant,0,
him',him',0,
l'm,l'm,0,
'steady,'Steady,0,
'keep,'keep 'Keep,0,
love’',love’',0,
'mon,'mon,0,
cry',cry',0,
war'ssss,war'ssss,1,
'we're,'we're 'We're,0,
w-was-'',w-was-'',1,
'quite,'quite 'Quite,0,
'tried,'Tried,0,
deeds',deeds',0,
all',all',0,
own',own',0,
'silver,'Silver 'silver,0,
not',not',0,
'under,'under 'Under,0,
influence',influence',0,
'checking,'Checking,0,
'wet,'wet,0,
dream',dream',0,
sweet-season'd,sweet-season'd,1,
'twixt,'twixt 'Twixt,0,
better'd,better'd,1,
m'lord,m'lord m'Lord M'lord,1,
'sweating,'sweating,0,
bullets',bullets',0,
'okay,'Okay 'okay,0,
now—',now—',0,
fiancé's,fiancé's,0,
all-boys',all-boys',0,
'between,'between 'Between,0,
'open,'open 'Open,0,
'useless,'useless 'Useless,0,
miracle',miracle',0,
away',away',0,
d'amour,d'Amour d'amour,0,
almost-courtship-that-wasn't-quite,almost-courtship-that-wasn't-quite,0,
didn't’,didn't’,0,
m'tired,M'tired m'tired,1,
iris',iris',0,
'fancy,'fancy 'Fancy,0,
stuff',stuff',0,
'shut,'Shut 'shut,0,
'run,'run 'Run,0,
into',into',0,
s'me,S'me s'me,1,
s'been,S'been s'been,1,
'haz,'Haz,1,
luz',luz',1,
much',much',0,
'smart'phone,'smart'phone,0,
y'all's,y'all's,1,
'oregon,'Oregon,0,
night',night',0,
'willamette,'Willamette,0,
'turn,'turn 'Turn,0,
's'not,'s'not 'S'not,1,
'there,'There 'there 'THERE,0,
me-',me-',0,
'tell,'Tell 'tell 'TELL,0,
'forget,'Forget 'forget,0,
hnnkkh',hnnkkh',1,
balloon',balloon',0,
'say,'Say 'say,0,
eyes—he's,eyes—he's,0,
