lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
m'tired,M'tired m'tired,1.0,,2,
s'me,S'me s'me,1.0,,2,
s'been,S'been s'been,1.0,,2,
'haz,'Haz,1.0,,1,
luz',luz',1.0,,1,
y'all's,y'all's,1.0,,1,
's'not,'s'not 'S'not,1.0,,2,
hnnkkh',hnnkkh',1.0,,1,
i'vve,I'vve,1.0,,1,
'mnot,'mnot 'Mnot,1.0,,2,
'appy,'appy,1.0,,1,
wha',wha',1.0,,1,
wan'ed,wan'ed,1.0,,1,
wan',wan',1.0,,1,
'neath,'neath 'Neath,1.0,,2,
m'kay,M'kay m'kay,1.0,,2,
can't-i,can't-I,1.0,,1,
e'en,E'en e'en,1.0,,2,
'ss,'ss 'Ss,1.0,,2,hiss
's'all,'S'all 's'all,1.0,,2,
that'sss,that'sss,1.0,,1,hiss
'kay,'kay 'Kay,1.0,,2,
serpent'zz,serpent'zz,1.0,,1,buzz
that'zz,that'zz,1.0,,1,buzz
'sssweetheart’,'sssweetheart’,1.0,,1,hiss
y'see,y'see Y'see Y'SEE,1.0,,3,
'ey,'Ey 'ey,1.0,,2,
'ow,'ow 'Ow,1.0,,2,
s'pposed,s'pposed,1.0,,1,
'aww'ed,'aww'ed,1.0,,1,
e'rybody,e'rybody,1.0,,1,
look'cause,look'Cause,1.0,,1,
wing'cause,wing'Cause,1.0,,1,
'ell,'Ell 'ell,1.0,,2,
chil'ren,chil'ren,1.0,,1,
'e'd,'E'd,1.0,,1,would
mat'r,mat'r,1.0,,1,
p'rhaps,P'rhaps p'rhaps,1.0,,2,
d'y'ever,D'y'ever,1.0,,1,
l'v,L'v,1.0,,1,
ha'penny,ha'penny,1.0,,1,
y'ask,y'ask,1.0,,1,
s'aiment,S'Aiment,1.0,0,1,
ko'd,KO'd,1.0,,1,would
s'nothing,S'nothing,1.0,,1,
'n,'n 'N,1.0,,2,
af',af',1.0,,1,
'syoure,'syoure,1.0,,1,
s'at,S'at,1.0,,1,
ev'ry,ev'ry,1.0,,1,
y'ere,Y'ere y'ere,1.0,,2,
who'zz,who'zz,1.0,,1,buzz
let'zz,let'zz,1.0,,1,buzz
it'zz,it'zz,1.0,,1,buzz
s'this,S'this,1.0,,1,
s'curious,S'curious,1.0,,1,
should'n,should'n,1.0,???,1,
s'amazing,S'amazing,1.0,,1,
'sa,'sa,1.0,,1,
t'sks,t'sks,1.0,,1,
tch'ed,tch'ed,1.0,,1,
he'z,he'z,1.0,,1,
s'euripides,S'Euripides,1.0,,1,
s'ure,S'ure,1.0,,1,
g'day,G'day g'day,1.0,,2,
d',d' D',1.0,,2,
dunnit',dunnit',1.0,,1,
ya',ya',1.0,,1,
